Amostra 1,Amostra 2,Amostra 3,Amostra 4,Amostra 5,Amostra 6,Amostra 7,Amostra 8,Amostra 9,Amostra 10,Amostra 11,Amostra 12,Amostra 13,Amostra 14,Amostra 15,Amostra 16,Amostra 17,Amostra 18,Amostra 19,Amostra 20,Amostra 21,Amostra 22,Amostra 23,Amostra 24,Amostra 25,Amostra 26,Amostra 27,Amostra 28,Amostra 29,Amostra 30,Amostra 31,Amostra 32,Amostra 33,Amostra 34,Amostra 35,Amostra 36,Amostra 37,Amostra 38,Amostra 39,Amostra 40,Amostra 41,Amostra 42,Amostra 43,Amostra 44,Amostra 45,Amostra 46,Amostra 47,Amostra 48,Amostra 49,Amostra 50,Amostra 51,Amostra 52,Amostra 53,Amostra 54,Amostra 55,Amostra 56,Amostra 57,Amostra 58,Amostra 59,Amostra 60,Amostra 61,Amostra 62,Amostra 63,Amostra 64,Amostra 65,Amostra 66,Amostra 67,Amostra 68,Amostra 69,Amostra 70,Amostra 71,Amostra 72,Amostra 73,Amostra 74,Amostra 75,Amostra 76,Amostra 77,Amostra 78,Amostra 79,Amostra 80,Amostra 81,Amostra 82,Amostra 83,Amostra 84,Amostra 85,Amostra 86,Amostra 87,Amostra 88,Amostra 89,Amostra 90,Amostra 91,Amostra 92,Amostra 93,Amostra 94,Amostra 95,Amostra 96,Amostra 97,Amostra 98,Amostra 99,Amostra 100,Amostra 101,Amostra 102,Amostra 103,Amostra 104,Amostra 105,Amostra 106,Amostra 107,Amostra 108,Amostra 109,Amostra 110,Amostra 111,Amostra 112,Amostra 113,Amostra 114,Amostra 115,Amostra 116,Amostra 117,Amostra 118,Amostra 119,Amostra 120,Amostra 121,Amostra 122,Amostra 123,Amostra 124,Amostra 125,Amostra 126,Amostra 127,Amostra 128,Amostra 129,Amostra 130,Amostra 131,Amostra 132,Amostra 133,Amostra 134,Amostra 135,Amostra 136,Amostra 137,Amostra 138,Amostra 139,Amostra 140,Amostra 141,Amostra 142,Amostra 143,Amostra 144,Amostra 145,Amostra 146,Amostra 147,Amostra 148,Amostra 149,Amostra 150,Amostra 151,Amostra 152,Amostra 153,Amostra 154,Amostra 155,Amostra 156,Amostra 157,Amostra 158,Amostra 159,Amostra 160,Amostra 161,Amostra 162,Amostra 163,Amostra 164,Amostra 165,Amostra 166,Amostra 167,Amostra 168,Amostra 169,Amostra 170,Amostra 171,Amostra 172,Amostra 173,Amostra 174,Amostra 175,Amostra 176,Amostra 177,Amostra 178,Amostra 179,Amostra 180,Amostra 181,Amostra 182,Amostra 183,Amostra 184,Amostra 185,Amostra 186,Amostra 187,Amostra 188,Amostra 189,Amostra 190,Amostra 191,Forma de onda
3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,2.640,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,2.640,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,1.000
3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,2.640,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,2.640,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,1.000
3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,2.640,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,2.640,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,1.000
3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,2.145,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,2.145,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,1.000
3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,2.145,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,2.145,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,1.000
3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,2.145,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,2.145,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,1.000
3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,2.640,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,2.640,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,1.000
3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,2.640,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,2.640,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,1.000
3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,2.640,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,1.980,2.640,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,1.000
3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,2.145,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,2.145,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,1.000
